Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Rainfall_mm_was_missing,Soil_Moisture_pct_was_missing,Yield_Outlier,Yield_Index,Price_Index,Cost_per_ha,Revenue_per_ha,Profit_per_ha,BCR,Loss_Making,Water_per_ha,NPK_total,Rain_Band,Temp_Band,Profit_Robust_Z,Water_Ratio
SF10001,Andhra Pradesh,Rajkot,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91.0,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810,-11852,237,5.485,55.3,False,False,False,1.1106094808126412,0.993564885656193,80494.3396226415,58132.07547169811,-22362.264150943396,0.722188364352351,True,447.1698113207547,228.1,Mid-low,Mild,-0.2949004587552671,0.8776510093212939
SF10002,Maharashtra,Nalgonda,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32.0,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401,-451950,4953,0.396,49.9,False,False,False,0.10526315789473684,0.9825539825539825,75398.31546707504,6186.98315467075,-69211.33231240428,0.0820573127707672,True,758.4992343032159,239.3,High,Mild,-2.0358151329717074,1.4292331895870158
SF10003,Telangana,Warangal,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466,-124744,1275,1.984,33.7,False,False,False,0.5531914893617021,1.0588847552270506,64858.02469135802,39190.534979423865,-25667.489711934155,0.6042511341645252,True,262.34567901234567,287.9,Mid-low,Cool,-0.7324657999813029,0.7337851203195687
SF10004,Telangana,Indore,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740,-95704,3834,2.16,50.6,False,False,False,0.7479674796747968,1.0997754541949238,65876.44444444444,44608.88888888889,-21267.555555555555,0.6771599357720176,True,852.0,309.7,Mid-high,Hot,-0.2663727242120711,0.6069417891204858
SF10005,Karnataka,Ludhiana,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69.0,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607,-144352,3287,2.829,32.3,False,False,False,0.775438596491228,0.9923256589923256,80275.29691211402,45987.410926365796,-34287.88598574822,0.5728712654493593,True,780.7600950118765,314.5,Low,Hot,-0.8261245229598638,1.4711791263984333
SF10006,Gujarat,Raichur,Pulses,Zaid,5.46,356.0,33.6,49.0,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570,-32763,1093,3.596,57.1,False,False,False,0.7659574468085106,0.9647872961397537,55372.344322344325,49371.794871794875,-6000.549450549451,0.8916327360890144,True,200.1831501831502,218.5,Low,Hot,-0.17624110390698322,0.5599155187007315
SF10007,Telangana,Warangal,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102,-41239,2368,8.687,31.6,False,False,False,1.1422121896162527,0.9621648814639361,63141.57441574415,58069.12669126691,-5072.447724477244,0.9196654855154761,True,291.26691266912667,295.0,Mid-low,Cool,0.39570585529962515,0.5716635904622649
SF10008,Tamil Nadu,Ludhiana,Pulses,Kharif,5.34,860.2,29.0,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265,5065,1704,3.697,54.2,False,False,False,1.2553191489361701,0.9851680462470023,81685.39325842696,82633.89513108614,948.501872659176,1.0116116460339293,False,319.1011235955056,289.5,High,Warm,0.020293481996336418,0.8925310195813011
SF10009,Karnataka,Guntur,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834,230705,5079,2.103,54.7,False,False,False,1.2338709677419355,1.0378272951907497,75233.3810888252,108285.67335243552,33052.29226361031,1.43933014554519,False,727.6504297994269,248.7,Mid-high,Hot,0.4031068589548359,1.016451728643935
SF10010,Tamil Nadu,Raichur,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907,1954835,5984,5.239,41.7,False,False,False,1.472668810289389,0.9163842904995388,73343.46238130023,216136.376917458,142792.9145361578,2.946907193906413,False,437.1073776479182,271.70000000000005,Mid-low,Cool,0.5395723140412113,0.7496684075551245
SF10011,Maharashtra,Krishna,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70.0,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857,-148902,2371,2.855,33.5,False,False,False,0.6501128668171557,0.8722409709266984,61650.85106382979,29969.574468085106,-31681.27659574468,0.4861177737361048,True,504.46808510638294,239.3,Mid-low,Mild,-0.667129328998471,0.9901091550798254
SF10012,Telangana,Rajkot,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097,-579415,7467,2.563,35.0,False,False,False,0.4771929824561404,0.9590542923876257,68550.95948827291,27370.07818052594,-41180.881307746975,0.3992661573935835,True,530.7036247334755,217.2,Low,Mild,-1.0648865179211975,1.0
SF10013,Punjab,Indore,Wheat,Rabi,6.04,431.5,24.1,59.8,9.0,8.23,27.0,162.3,60.1,113.0,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063,-293090,1411,1.283,49.6,False,False,False,0.13544018058690746,0.9742385813402645,55488.90728476821,6964.07284768212,-48524.834437086094,0.12550387434992377,True,233.60927152317882,335.4,Mid-low,Mild,-1.3399107576418217,0.4585001217626116
SF10014,Gujarat,Indore,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880,143249,1556,8.843,50.6,False,False,False,1.393617021276596,1.0179826011125723,81202.95238095238,94845.71428571429,13642.761904761905,1.1680082004993955,False,148.1904761904762,239.8,Mid-high,Hot,0.37931531428961174,0.41449116604861475
SF10015,Punjab,Indore,Rice,Kharif,4.38,762.0,25.0,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809,28876,3404,4.271,43.6,False,False,False,1.3495934959349594,0.9852797750005671,65509.817351598176,72102.51141552512,6592.6940639269405,1.1006367340110756,False,777.1689497716895,286.8,Mid-high,Mild,0.6488106244962673,0.5536341699804205
